Year,Month,Death_and_injury_accidents,Property_damage_accidents,Death,Injured
2024,January,68,101,0,105
2024,February,64,96,3,116
2024,March,83,110,4,176
2024,April,107,102,2,196
2024,May,71,117,2,110
2024,June,98,129,6,179
2024,July,101,136,0,171
2024,August,110,127,0,208
2024,September,118,118,1,245
2024,October,96,178,5,162
2024,November,105,218,6,224
2024,December,109,220,12,200
2023,January,71,159,7,132
2023,February,33,98,2,65
2023,March,66,106,2,115
2023,April,80,53,2,133
2023,May,95,0,1,151
2023,June,108,59,2,186
2023,July,121,118,4,222
2023,August,99,105,5,202
2023,September,95,120,0,173
2023,October,109,151,1,202
2023,November,92,154,1,167
2023,December,74,156,0,133
2022,January,57,159,0,98
2022,February,61,127,4,94
2022,March,48,113,1,67
2022,April,83,117,5,181
2022,May,76,122,2,158
2022,June,68,126,0,135
2022,July,93,94,0,241
2022,August,94,128,3,164
2022,September,62,121,4,99
2022,October,90,107,2,163
2022,November,62,110,1,103
2022,December,80,108,0,119
2021,January,55,96,0,88
2021,February,30,85,1,56
2021,March,56,101,1,88
2021,April,62,80,2,95
2021,May,76,84,2,127
2021,June,90,89,1,159
2021,July,92,106,2,166
2021,August,94,122,2,172
2021,September,95,139,3,179
2021,October,97,156,4,186
2021,November,79,163,2,130
2021,December,79,163,2,130
