Year,Month,Death_and_injury_accidents,Property_damage_accidents,Death,Injured
2024,January,42,35,0,69
2024,February,30,42,0,59
2024,March,40,31,0,92
2024,April,36,36,2,82
2024,May,36,39,4,73
2024,June,61,45,0,94
2024,July,66,57,1,115
2024,August,76,45,0,142
2024,September,85,33,0,170
2024,October,74,63,1,129
2024,November,67,73,4,132
2024,December,73,68,3,137
2023,January,56,60,4,108
2023,February,40,53,4,79
2023,March,43,40,1,85
2023,April,53,20,2,102
2023,May,63,0,2,119
2023,June,87,26,1,156
2023,July,111,53,0,193
2023,August,94,54,2,176
2023,September,78,38,2,147
2023,October,68,42,4,129
2023,November,60,48,4,108
2023,December,52,55,4,86
2022,January,44,61,4,65
2022,February,39,38,1,59
2022,March,44,50,2,61
2022,April,52,48,1,103
2022,May,62,53,2,102
2022,June,71,58,2,102
2022,July,84,62,1,133
2022,August,81,44,5,164
2022,September,70,60,3,124
2022,October,56,67,2,96
2022,November,56,72,3,105
2022,December,57,56,1,113
2021,January,43,52,0,82
2021,February,29,47,0,52
2021,March,41,61,1,69
2021,April,44,36,1,92
2021,May,56,42,2,115
2021,June,67,47,2,138
2021,July,72,50,2,139
2021,August,78,53,1,140
2021,September,84,56,0,140
2021,October,89,59,0,141
2021,November,52,69,0,93
2021,December,52,69,0,93
