Year,Month,Death_and_injury_accidents,Property_damage_accidents,Death,Injured
2024,January,98,61,3,169
2024,February,94,77,2,122
2024,March,88,63,8,125
2024,April,139,75,1,201
2024,May,145,56,4,223
2024,June,156,95,8,228
2024,July,201,125,5,352
2024,August,171,103,4,276
2024,September,141,81,2,200
2024,October,164,78,0,251
2024,November,137,74,6,218
2024,December,117,131,0,203
2023,January,95,98,2,158
2023,February,73,64,4,113
2023,March,74,56,2,120
2023,April,94,66,3,152
2023,May,115,77,4,185
2023,June,136,92,4,221
2023,July,157,107,3,257
2023,August,167,77,10,271
2023,September,146,81,1,218
2023,October,126,95,2,179
2023,November,107,107,1,151
2023,December,87,119,1,124
2022,January,68,131,0,96
2022,February,74,104,2,105
2022,March,65,97,0,97
2022,April,98,75,4,168
2022,May,114,100,4,187
2022,June,130,125,4,206
2022,July,159,132,4,249
2022,August,141,129,1,249
2022,September,109,109,6,178
2022,October,110,90,4,165
2022,November,91,72,4,127
2022,December,85,81,5,123
2021,January,84,85,4,118
2021,February,83,89,2,113
2021,March,82,106,3,125
2021,April,83,77,4,141
2021,May,119,104,4,186
2021,June,155,131,3,232
2021,July,146,128,4,217
2021,August,138,126,5,202
2021,September,129,123,6,188
2021,October,120,120,7,173
2021,November,88,119,1,141
2021,December,88,119,1,141
