Year,Month,Death_and_injury_accidents,Property_damage_accidents,Death,Injured
2024,January,39,35,0,83
2024,February,25,21,2,35
2024,March,52,27,1,108
2024,April,90,37,7,177
2024,May,66,28,2,120
2024,June,134,60,4,278
2024,July,120,69,3,237
2024,August,104,52,2,218
2024,September,89,36,0,199
2024,October,88,42,5,142
2024,November,87,39,3,145
2024,December,52,46,1,82
2023,January,38,25,4,60
2023,February,23,4,3,37
2023,March,42,27,3,85
2023,April,50,32,3,102
2023,May,58,38,3,118
2023,June,100,38,2,204
2023,July,142,39,0,291
2023,August,99,105,5,202
2023,September,95,120,0,173
2023,October,67,49,3,128
2023,November,56,46,3,105
2023,December,45,44,2,82
2022,January,34,41,2,59
2022,February,22,26,0,49
2022,March,23,24,3,55
2022,April,75,32,5,164
2022,May,68,30,3,131
2022,June,62,29,1,98
2022,July,101,58,3,220
2022,August,103,44,7,222
2022,September,72,29,3,137
2022,October,69,32,7,123
2022,November,47,39,0,95
2022,December,57,36,1,104
2021,January,38,30,0,66
2021,February,18,25,0,29
2021,March,39,20,2,65
2021,April,41,21,1,76
2021,May,60,28,2,104
2021,June,79,35,2,132
2021,July,81,35,2,140
2021,August,83,34,3,148
2021,September,85,34,4,156
2021,October,87,34,4,164
2021,November,56,38,1,84
2021,December,56,38,1,84
